transaction_id,store_id,payment_method_id,voucher_id,user_id,original_amount,discount_applied,final_amount,created_at
ac6f851c-649f-42fb-a606-72be0fdcf8d2,3,1,,1,63.5,0.0,1200.5,2024-01-01 10:06:50
d7856e66-c613-45c4-b9ca-7a3cec6c6db3,4,2,,1,30.5,0.0,1200.5,2024-01-01 10:06:52
78015742-1f8b-4f9c-bde2-0e68b822890c,1,4,,2,54.0,0.0,54.0,2024-01-01 10:06:53
b1e2f0e4-3f0e-4f3c-8f7a-5e8e2f0e4b3f,2,5,,2,15.0,0.0,15.0,2024-01-01 10:06:54
2f0e4b3f-3f0e-4f3c-8f7a-5e8e2f0e4b3f,3,1,,2,45.0,0.0,45.0,2024-01-01 10:06:55
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,4,2,,2,75.0,0.0,75.0,2024-01-01 10:06:56
f0e4b3f3-3f0e-4f3c-8f7a-5e8e2f0e4b3f,1,3,,3,90.0,0.0,90.0,2024-01-01 10:06:57
d7856e66-c613-45c4-b9ca-7a3cec6c6db3,1,2,,3,30.5,0.0,1200.5,2024-01-01 10:06:52
78015742-1f8b-4f9c-bde2-0e68b822890c,3,1,,3,54.0,0.0,54.0,2024-01-01 10:06:53
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,4,2,,3,75.0,0.0,75.0,2024-01-01 10:06:56
78015742-1f8b-4f9c-bde2-0e68b822890c,1,4,,2,54.0,0.0,54.0,2024-01-01 10:06:53
b1e2f0e4-3f0e-4f3c-8f7a-5e8e2f0e4b3f,2,5,,2,15.0,0.0,15.0,2024-01-01 10:06:54
2f0e4b3f-3f0e-4f3c-8f7a-5e8e2f0e4b3f,3,1,,2,45.0,0.0,45.0,2024-01-01 10:06:55
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,4,2,,2,75.0,0.0,75.0,2024-01-01 10:06:56
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,5,2,,7,75.0,0.0,75.0,2024-01-01 10:06:56
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,5,2,,7,75.0,0.0,75.0,2024-01-01 10:06:56
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,6,2,,8,75.0,0.0,75.0,2024-01-01 10:06:56
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,5,2,,8,75.0,0.0,75.0,2024-01-01 10:06:56
5e8e2f0e-3f0e-4f3c-8f7a-5e8e2f0e4b3f,7,2,,9,75.0,0.0,75.0,2024-01-01 10:06:56